NEW_DATASET_IMG_FILENAME -> ORIGINAL_SUNRGBD_IMG_PATH
243.png -> /SUNRGBD/kv1/NYUdata/NYU0205
244.png -> /SUNRGBD/kv1/NYUdata/NYU0876
245.png -> /SUNRGBD/kv1/NYUdata/NYU1011
246.png -> /SUNRGBD/kv1/NYUdata/NYU0408
247.png -> /SUNRGBD/kv1/NYUdata/NYU0130
248.png -> /SUNRGBD/kv1/NYUdata/NYU0028
249.png -> /SUNRGBD/kv1/NYUdata/NYU0281
250.png -> /SUNRGBD/kv1/NYUdata/NYU0667
251.png -> /SUNRGBD/kv1/NYUdata/NYU0810
252.png -> /SUNRGBD/kv1/NYUdata/NYU1094
253.png -> /SUNRGBD/kv1/NYUdata/NYU0171
254.png -> /SUNRGBD/kv1/NYUdata/NYU1156
255.png -> /SUNRGBD/kv1/NYUdata/NYU0072
256.png -> /SUNRGBD/kv1/NYUdata/NYU0622
257.png -> /SUNRGBD/kv1/NYUdata/NYU0928
258.png -> /SUNRGBD/kv1/NYUdata/NYU0930
259.png -> /SUNRGBD/kv1/NYUdata/NYU0689
260.png -> /SUNRGBD/kv1/NYUdata/NYU0068
261.png -> /SUNRGBD/kv1/NYUdata/NYU0615
262.png -> /SUNRGBD/kv1/NYUdata/NYU1071
263.png -> /SUNRGBD/kv1/NYUdata/NYU0890
264.png -> /SUNRGBD/kv1/NYUdata/NYU0272
265.png -> /SUNRGBD/kv1/NYUdata/NYU0078
266.png -> /SUNRGBD/kv1/NYUdata/NYU0577
267.png -> /SUNRGBD/kv1/NYUdata/NYU0083
268.png -> /SUNRGBD/kv1/NYUdata/NYU1170
269.png -> /SUNRGBD/kv1/NYUdata/NYU0968
270.png -> /SUNRGBD/kv1/NYUdata/NYU0081
271.png -> /SUNRGBD/kv1/NYUdata/NYU0981
272.png -> /SUNRGBD/kv1/NYUdata/NYU1157
273.png -> /SUNRGBD/kv1/NYUdata/NYU1080
274.png -> /SUNRGBD/kv1/NYUdata/NYU0044
275.png -> /SUNRGBD/kv1/NYUdata/NYU0500
276.png -> /SUNRGBD/kv1/NYUdata/NYU1040
277.png -> /SUNRGBD/kv1/NYUdata/NYU0323
278.png -> /SUNRGBD/kv1/NYUdata/NYU1063
279.png -> /SUNRGBD/kv1/NYUdata/NYU1030
280.png -> /SUNRGBD/kv1/NYUdata/NYU0882
281.png -> /SUNRGBD/kv1/NYUdata/NYU0128
282.png -> /SUNRGBD/kv1/NYUdata/NYU1045
283.png -> /SUNRGBD/kv1/NYUdata/NYU1153
284.png -> /SUNRGBD/kv1/NYUdata/NYU0677
285.png -> /SUNRGBD/kv1/NYUdata/NYU0132
286.png -> /SUNRGBD/kv1/NYUdata/NYU0343
287.png -> /SUNRGBD/kv1/NYUdata/NYU0731
288.png -> /SUNRGBD/kv1/NYUdata/NYU0990
289.png -> /SUNRGBD/kv1/NYUdata/NYU0061
290.png -> /SUNRGBD/kv1/NYUdata/NYU0920
291.png -> /SUNRGBD/kv1/NYUdata/NYU0878
292.png -> /SUNRGBD/kv1/NYUdata/NYU0058
293.png -> /SUNRGBD/kv1/NYUdata/NYU1163
294.png -> /SUNRGBD/kv1/NYUdata/NYU0174
295.png -> /SUNRGBD/kv1/NYUdata/NYU0805
296.png -> /SUNRGBD/kv1/NYUdata/NYU0771
297.png -> /SUNRGBD/kv1/NYUdata/NYU0790
298.png -> /SUNRGBD/kv1/NYUdata/NYU0871
299.png -> /SUNRGBD/kv1/NYUdata/NYU1061
300.png -> /SUNRGBD/kv1/NYUdata/NYU0633
301.png -> /SUNRGBD/kv1/NYUdata/NYU1105
302.png -> /SUNRGBD/kv1/NYUdata/NYU0502
303.png -> /SUNRGBD/kv1/NYUdata/NYU0704
304.png -> /SUNRGBD/kv1/NYUdata/NYU1079
305.png -> /SUNRGBD/kv1/NYUdata/NYU0823
306.png -> /SUNRGBD/kv1/NYUdata/NYU0299
307.png -> /SUNRGBD/kv1/NYUdata/NYU0768
308.png -> /SUNRGBD/kv1/NYUdata/NYU0798
309.png -> /SUNRGBD/kv1/NYUdata/NYU0034
310.png -> /SUNRGBD/kv1/NYUdata/NYU0331
311.png -> /SUNRGBD/kv1/NYUdata/NYU1175
312.png -> /SUNRGBD/kv1/NYUdata/NYU0416
313.png -> /SUNRGBD/kv1/NYUdata/NYU0682
314.png -> /SUNRGBD/kv1/NYUdata/NYU0139
315.png -> /SUNRGBD/kv1/NYUdata/NYU1034
316.png -> /SUNRGBD/kv1/NYUdata/NYU1101
317.png -> /SUNRGBD/kv1/NYUdata/NYU1088
318.png -> /SUNRGBD/kv1/NYUdata/NYU0776
319.png -> /SUNRGBD/kv1/NYUdata/NYU0140
320.png -> /SUNRGBD/kv1/NYUdata/NYU0717
321.png -> /SUNRGBD/kv1/NYUdata/NYU1199
322.png -> /SUNRGBD/kv1/NYUdata/NYU1052
323.png -> /SUNRGBD/kv1/NYUdata/NYU0827
324.png -> /SUNRGBD/kv1/NYUdata/NYU0946
325.png -> /SUNRGBD/kv1/NYUdata/NYU0941
326.png -> /SUNRGBD/kv1/NYUdata/NYU0994
327.png -> /SUNRGBD/kv1/NYUdata/NYU0892
328.png -> /SUNRGBD/kv1/NYUdata/NYU0889
329.png -> /SUNRGBD/kv1/NYUdata/NYU0803
330.png -> /SUNRGBD/kv1/NYUdata/NYU0635
331.png -> /SUNRGBD/kv1/NYUdata/NYU1178
332.png -> /SUNRGBD/kv1/NYUdata/NYU1054
333.png -> /SUNRGBD/kv1/NYUdata/NYU0339
334.png -> /SUNRGBD/kv1/NYUdata/NYU1131
335.png -> /SUNRGBD/kv1/NYUdata/NYU0071
336.png -> /SUNRGBD/kv1/NYUdata/NYU0983
337.png -> /SUNRGBD/kv1/NYUdata/NYU0638
338.png -> /SUNRGBD/kv1/NYUdata/NYU1089
339.png -> /SUNRGBD/kv1/NYUdata/NYU1002
340.png -> /SUNRGBD/kv1/NYUdata/NYU0737
341.png -> /SUNRGBD/kv1/NYUdata/NYU0989
342.png -> /SUNRGBD/kv1/NYUdata/NYU1092
343.png -> /SUNRGBD/kv1/NYUdata/NYU0292
344.png -> /SUNRGBD/kv1/NYUdata/NYU0690
345.png -> /SUNRGBD/kv1/NYUdata/NYU0738
346.png -> /SUNRGBD/kv1/NYUdata/NYU0952
347.png -> /SUNRGBD/kv1/NYUdata/NYU0074
348.png -> /SUNRGBD/kv1/NYUdata/NYU0080
349.png -> /SUNRGBD/kv1/NYUdata/NYU0908
350.png -> /SUNRGBD/kv1/NYUdata/NYU1099
351.png -> /SUNRGBD/kv1/NYUdata/NYU0134
352.png -> /SUNRGBD/kv1/NYUdata/NYU0733
353.png -> /SUNRGBD/kv1/NYUdata/NYU0694
354.png -> /SUNRGBD/kv1/NYUdata/NYU0663
355.png -> /SUNRGBD/kv1/NYUdata/NYU1003
356.png -> /SUNRGBD/kv1/NYUdata/NYU0846
357.png -> /SUNRGBD/kv1/NYUdata/NYU1027
358.png -> /SUNRGBD/kv1/NYUdata/NYU0869
359.png -> /SUNRGBD/kv1/NYUdata/NYU1110
360.png -> /SUNRGBD/kv1/NYUdata/NYU0998
361.png -> /SUNRGBD/kv1/NYUdata/NYU0847
362.png -> /SUNRGBD/kv1/NYUdata/NYU1177
363.png -> /SUNRGBD/kv1/NYUdata/NYU0755
364.png -> /SUNRGBD/kv1/NYUdata/NYU1173
365.png -> /SUNRGBD/kv1/NYUdata/NYU1140
366.png -> /SUNRGBD/kv1/NYUdata/NYU0031
367.png -> /SUNRGBD/kv1/NYUdata/NYU0741
368.png -> /SUNRGBD/kv1/NYUdata/NYU0976
369.png -> /SUNRGBD/kv1/NYUdata/NYU0799
370.png -> /SUNRGBD/kv1/NYUdata/NYU1024
371.png -> /SUNRGBD/kv1/NYUdata/NYU0697
372.png -> /SUNRGBD/kv1/NYUdata/NYU1143
373.png -> /SUNRGBD/kv1/NYUdata/NYU0523
374.png -> /SUNRGBD/kv1/NYUdata/NYU0184
375.png -> /SUNRGBD/kv1/NYUdata/NYU0986
376.png -> /SUNRGBD/kv1/NYUdata/NYU0636
377.png -> /SUNRGBD/kv1/NYUdata/NYU0849
378.png -> /SUNRGBD/kv1/NYUdata/NYU0945
379.png -> /SUNRGBD/kv1/NYUdata/NYU0286
380.png -> /SUNRGBD/kv1/NYUdata/NYU1044
381.png -> /SUNRGBD/kv1/NYUdata/NYU0538
382.png -> /SUNRGBD/kv1/NYUdata/NYU1109
383.png -> /SUNRGBD/kv1/NYUdata/NYU1031
384.png -> /SUNRGBD/kv1/NYUdata/NYU1036
385.png -> /SUNRGBD/kv1/NYUdata/NYU0610
386.png -> /SUNRGBD/kv1/NYUdata/NYU0786
387.png -> /SUNRGBD/kv1/NYUdata/NYU1128
388.png -> /SUNRGBD/kv1/NYUdata/NYU0801
389.png -> /SUNRGBD/kv1/NYUdata/NYU0333
390.png -> /SUNRGBD/kv1/NYUdata/NYU0009
391.png -> /SUNRGBD/kv1/NYUdata/NYU1097
392.png -> /SUNRGBD/kv1/NYUdata/NYU0880
393.png -> /SUNRGBD/kv1/NYUdata/NYU1198
394.png -> /SUNRGBD/kv1/NYUdata/NYU1091
395.png -> /SUNRGBD/kv1/NYUdata/NYU0802
396.png -> /SUNRGBD/kv1/NYUdata/NYU1181
397.png -> /SUNRGBD/kv1/NYUdata/NYU0318
398.png -> /SUNRGBD/kv1/NYUdata/NYU0023
399.png -> /SUNRGBD/kv1/NYUdata/NYU0064
400.png -> /SUNRGBD/kv1/NYUdata/NYU0417
401.png -> /SUNRGBD/kv1/NYUdata/NYU0883
402.png -> /SUNRGBD/kv1/NYUdata/NYU0688
403.png -> /SUNRGBD/kv1/NYUdata/NYU0808
404.png -> /SUNRGBD/kv1/NYUdata/NYU0049
405.png -> /SUNRGBD/kv1/NYUdata/NYU0561
406.png -> /SUNRGBD/kv1/NYUdata/NYU1139
407.png -> /SUNRGBD/kv1/NYUdata/NYU0138
408.png -> /SUNRGBD/kv1/NYUdata/NYU0172
409.png -> /SUNRGBD/kv1/NYUdata/NYU0303
410.png -> /SUNRGBD/kv1/NYUdata/NYU0539
411.png -> /SUNRGBD/kv1/NYUdata/NYU0312
412.png -> /SUNRGBD/kv1/NYUdata/NYU0772
413.png -> /SUNRGBD/kv1/NYUdata/NYU0326
414.png -> /SUNRGBD/kv1/NYUdata/NYU0198
415.png -> /SUNRGBD/kv1/NYUdata/NYU1000
416.png -> /SUNRGBD/kv1/NYUdata/NYU1039
417.png -> /SUNRGBD/kv1/NYUdata/NYU0916
418.png -> /SUNRGBD/kv1/NYUdata/NYU0013
419.png -> /SUNRGBD/kv1/NYUdata/NYU0702
420.png -> /SUNRGBD/kv1/NYUdata/NYU0283
421.png -> /SUNRGBD/kv1/NYUdata/NYU0749
422.png -> /SUNRGBD/kv1/NYUdata/NYU0922
423.png -> /SUNRGBD/kv1/NYUdata/NYU0820
424.png -> /SUNRGBD/kv1/NYUdata/NYU0027
425.png -> /SUNRGBD/kv1/NYUdata/NYU0714
426.png -> /SUNRGBD/kv1/NYUdata/NYU0020
427.png -> /SUNRGBD/kv1/NYUdata/NYU0204
428.png -> /SUNRGBD/kv1/NYUdata/NYU0901
429.png -> /SUNRGBD/kv1/NYUdata/NYU0669
430.png -> /SUNRGBD/kv1/NYUdata/NYU0178
431.png -> /SUNRGBD/kv1/NYUdata/NYU0932
432.png -> /SUNRGBD/kv1/NYUdata/NYU0626
433.png -> /SUNRGBD/kv1/NYUdata/NYU0143
434.png -> /SUNRGBD/kv1/NYUdata/NYU0736
435.png -> /SUNRGBD/kv1/NYUdata/NYU0727
436.png -> /SUNRGBD/kv1/NYUdata/NYU0676
437.png -> /SUNRGBD/kv1/NYUdata/NYU0752
438.png -> /SUNRGBD/kv1/NYUdata/NYU0002
439.png -> /SUNRGBD/kv1/NYUdata/NYU0188
440.png -> /SUNRGBD/kv1/NYUdata/NYU1169
441.png -> /SUNRGBD/kv1/NYUdata/NYU0559
442.png -> /SUNRGBD/kv1/NYUdata/NYU1174
443.png -> /SUNRGBD/kv1/NYUdata/NYU1057
444.png -> /SUNRGBD/kv1/NYUdata/NYU0001
445.png -> /SUNRGBD/kv1/NYUdata/NYU0984
446.png -> /SUNRGBD/kv1/NYUdata/NYU0853
447.png -> /SUNRGBD/kv1/NYUdata/NYU0686
448.png -> /SUNRGBD/kv1/NYUdata/NYU0912
449.png -> /SUNRGBD/kv1/NYUdata/NYU0764
450.png -> /SUNRGBD/kv1/NYUdata/NYU0895
451.png -> /SUNRGBD/kv1/NYUdata/NYU0687
452.png -> /SUNRGBD/kv1/NYUdata/NYU0766
453.png -> /SUNRGBD/kv1/NYUdata/NYU0511
454.png -> /SUNRGBD/kv1/NYUdata/NYU0065
455.png -> /SUNRGBD/kv1/NYUdata/NYU0948
456.png -> /SUNRGBD/kv1/NYUdata/NYU0923
457.png -> /SUNRGBD/kv1/NYUdata/NYU1137
458.png -> /SUNRGBD/kv1/NYUdata/NYU0904
459.png -> /SUNRGBD/kv1/NYUdata/NYU0944
460.png -> /SUNRGBD/kv1/NYUdata/NYU0680
461.png -> /SUNRGBD/kv1/NYUdata/NYU0062
462.png -> /SUNRGBD/kv1/NYUdata/NYU0783
463.png -> /SUNRGBD/kv1/NYUdata/NYU0298
